Tabs	Trel	O2(%)	H2(%)	CO(%)	CO2(%)	CH4(%)	SO2(ppm)	NO(ppm)	NO2(ppm)	N2O(ppm)	T(°C)	P()	Comments
24.12.2021 16:35:35	0	20.3	0.034	0.006	0.020	0.756	1	3	0	0	26.0	749.4	
24.12.2021 16:35:36	1	20.3	0.034	0.006	0.020	0.744	1	3	0	0	26.0	749.0	
24.12.2021 16:37:32	117	20.4	0.000	0.011	0.000	0.073	0	0	0	0	26.3	749.2	
24.12.2021 16:37:34	119	20.4	0.000	0.011	0.000	0.073	0	0	0	0	26.4	749.2	
24.12.2021 16:37:36	121	20.4	0.000	0.011	0.000	0.059	0	0	0	0	26.2	748.6	
24.12.2021 16:37:37	122	20.4	0.000	0.011	0.000	0.059	0	0	0	0	26.3	748.9	
24.12.2021 16:37:39	124	20.5	0.000	0.011	0.000	0.059	0	0	0	0	26.4	748.8	
24.12.2021 16:37:40	125	20.5	0.000	0.011	0.000	0.059	0	0	0	0	26.4	748.8	
24.12.2021 16:37:41	126	20.6	0.000	0.011	0.000	0.032	0	0	0	0	26.4	749.1	
24.12.2021 16:37:42	127	20.7	0.000	0.011	0.000	0.032	0	0	0	0	26.5	748.9	
24.12.2021 16:37:43	128	20.8	0.000	0.011	0.000	0.032	0	0	0	3	26.3	748.7	
24.12.2021 16:37:44	129	20.8	0.000	0.011	0.010	0.000	0	0	0	3	26.4	749.0	
24.12.2021 16:37:45	130	20.8	0.000	0.011	0.010	0.000	0	0	0	3	26.4	749.1	
24.12.2021 16:37:47	132	20.8	0.000	0.011	0.010	0.000	0	0	0	4	26.4	749.1	
24.12.2021 16:37:48	133	20.8	0.000	0.011	0.030	0.000	0	0	0	4	26.4	749.0	
24.12.2021 16:37:49	134	20.8	0.000	0.011	0.030	0.000	0	0	0	4	26.4	749.0	
24.12.2021 16:37:51	136	20.8	0.000	0.011	0.060	0.000	0	0	0	6	26.4	749.0	
24.12.2021 16:37:52	137	20.8	0.000	0.011	0.060	0.000	0	0	0	6	26.3	748.8	
24.12.2021 16:37:53	138	20.8	0.000	0.011	0.060	0.000	3	0	0	6	26.5	749.1	
24.12.2021 16:37:54	139	20.8	0.021	0.011	0.060	0.000	3	1	0	8	26.3	749.0	
24.12.2021 16:37:55	140	20.8	0.011	0.011	0.090	0.000	3	1	0	8	26.2	749.2	
24.12.2021 16:37:56	141	20.8	0.007	0.011	0.090	0.000	3	1	0	8	26.4	749.3	
24.12.2021 16:37:57	142	20.8	0.003	0.011	0.090	0.000	6	2	0	10	26.2	748.9	
24.12.2021 16:37:58	143	20.8	0.003	0.011	0.090	0.000	6	2	0	10	26.2	748.9	
24.12.2021 16:37:59	144	20.8	0.003	0.011	0.090	0.000	6	2	0	10	26.2	748.9	
24.12.2021 16:38:00	145	20.7	0.000	0.011	0.130	0.000	6	2	0	10	26.2	749.1	
24.12.2021 16:38:01	146	20.7	0.000	0.011	0.130	0.000	11	2	0	10	26.4	749.0	
24.12.2021 16:38:02	147	20.7	0.000	0.011	0.130	0.000	11	4	0	11	26.4	749.0	
24.12.2021 16:38:04	149	20.7	0.000	0.011	0.130	0.000	11	4	0	11	26.4	749.0	
24.12.2021 16:38:06	151	20.8	0.000	0.022	0.150	0.000	16	7	0	12	26.5	748.8	
24.12.2021 16:38:08	153	20.8	0.000	0.022	0.150	0.000	16	7	0	12	26.2	748.6	
24.12.2021 16:38:09	154	20.8	0.000	0.022	0.150	0.000	16	7	0	12	26.2	748.6	
24.12.2021 16:38:10	155	20.8	0.000	0.011	0.150	0.000	18	7	0	8	26.1	748.9	
24.12.2021 16:38:12	157	20.8	0.000	0.011	0.140	0.000	18	7	0	8	26.3	748.9	
24.12.2021 16:38:13	158	20.8	0.000	0.011	0.140	0.000	18	7	0	8	26.3	748.9	
24.12.2021 16:38:14	159	20.8	0.000	0.011	0.140	0.000	21	7	0	8	26.3	749.1	
24.12.2021 16:38:16	161	20.8	0.000	0.011	0.120	0.000	21	6	0	8	26.4	749.0	
24.12.2021 16:38:17	162	20.8	0.000	0.011	0.120	0.000	21	6	0	8	26.4	749.0	
24.12.2021 16:38:18	163	20.8	0.000	0.011	0.120	0.000	21	6	0	8	26.4	749.0	
24.12.2021 16:38:19	164	20.8	0.000	0.011	0.090	0.000	22	5	0	9	26.3	748.9	
24.12.2021 16:38:21	166	20.8	0.000	0.011	0.090	0.000	22	5	0	9	26.2	749.0	
24.12.2021 16:38:22	167	20.8	0.000	0.011	0.090	0.000	22	4	0	9	26.2	749.0	
24.12.2021 16:38:24	169	20.8	0.000	0.011	0.060	0.000	22	4	0	9	26.0	748.8	
24.12.2021 16:38:26	171	20.8	0.000	0.011	0.060	0.000	24	3	0	7	25.9	748.8	
24.12.2021 16:38:27	172	20.8	0.000	0.011	0.040	0.000	24	3	0	7	26.1	748.8	
