Tabs	Trel	O2(%)	H2(%)	CO(%)	CO2(%)	CH4(%)	SO2(ppm)	NO(ppm)	NO2(ppm)	N2O(ppm)	T(°C)	P()	Comments
24.12.2021 18:05:08	0	20.6	0.000	0.032	0.250	0.000	52	31	0	0	26.4	750.3	
24.12.2021 18:05:10	2	20.6	0.000	0.032	0.240	0.000	52	33	0	0	26.5	750.2	
24.12.2021 18:05:12	4	20.6	0.000	0.032	0.240	0.000	57	33	0	0	26.4	750.5	
24.12.2021 18:05:14	6	20.6	0.000	0.032	0.290	0.000	57	35	0	0	26.4	750.7	
24.12.2021 18:05:15	7	20.6	0.000	0.032	0.290	0.000	57	35	0	0	26.4	750.6	
24.12.2021 18:05:16	8	20.6	0.000	0.032	0.290	0.000	63	35	0	0	26.5	750.6	
24.12.2021 18:05:17	9	20.6	0.000	0.032	0.290	0.000	63	35	0	0	26.4	750.3	
24.12.2021 18:05:19	11	20.7	0.000	0.032	0.300	0.000	63	38	0	0	26.4	750.1	
24.12.2021 18:05:21	13	20.7	0.000	0.032	0.300	0.000	67	38	0	0	26.3	750.6	
24.12.2021 18:05:22	14	20.7	0.000	0.032	0.280	0.000	67	38	0	0	26.3	750.4	
24.12.2021 18:05:24	16	20.7	0.000	0.032	0.280	0.000	67	38	0	0	26.4	750.8	
24.12.2021 18:05:25	17	20.7	0.000	0.032	0.280	0.000	67	38	0	0	26.4	750.8	
24.12.2021 18:05:27	19	20.7	0.000	0.032	0.250	0.000	69	38	0	0	26.4	750.7	
24.12.2021 18:05:28	20	20.7	0.000	0.032	0.250	0.000	69	38	0	0	26.4	750.7	
24.12.2021 18:05:29	21	20.7	0.000	0.032	0.250	0.000	69	38	0	0	26.4	750.7	
24.12.2021 18:05:31	23	20.7	0.000	0.032	0.200	0.000	68	36	0	0	26.4	750.6	
24.12.2021 18:05:33	25	20.7	0.000	0.032	0.200	0.000	67	33	0	0	26.3	750.6	
24.12.2021 18:05:35	27	20.7	0.000	0.022	0.150	0.000	67	33	0	0	26.4	750.6	
24.12.2021 18:05:37	29	20.7	0.000	0.022	0.150	0.000	65	33	0	0	26.5	750.7	
24.12.2021 18:05:38	30	20.8	0.000	0.022	0.100	0.000	65	32	0	0	26.3	750.4	
24.12.2021 18:05:40	32	20.8	0.000	0.022	0.100	0.000	65	32	0	0	26.3	750.4	
24.12.2021 18:05:41	33	20.8	0.000	0.011	0.100	0.000	64	32	0	0	26.5	750.1	
24.12.2021 18:05:42	34	20.8	0.000	0.011	0.070	0.000	64	31	0	0	26.5	750.7	
24.12.2021 18:05:43	35	20.8	0.000	0.011	0.070	0.000	64	31	0	0	26.5	750.6	
24.12.2021 18:05:44	36	20.8	0.000	0.011	0.070	0.000	63	31	0	0	26.4	750.4	
24.12.2021 18:05:46	38	20.8	0.000	0.011	0.070	0.000	63	29	0	0	26.6	750.6	
24.12.2021 18:05:47	39	20.8	0.000	0.011	0.070	0.000	63	29	0	0	26.6	750.6	
24.12.2021 18:05:48	40	20.8	0.000	0.011	0.050	0.000	62	29	0	0	26.6	751.0	
24.12.2021 18:05:50	42	20.8	0.000	0.011	0.040	0.000	62	28	0	0	26.8	751.1	
24.12.2021 18:05:51	43	20.8	0.000	0.011	0.040	0.000	62	28	0	0	26.8	751.1	
24.12.2021 18:05:53	45	20.8	0.000	0.011	0.040	0.000	61	28	0	0	26.6	751.1	
24.12.2021 18:05:54	46	20.8	0.000	0.011	0.040	0.000	61	27	0	0	26.6	751.1	
24.12.2021 18:05:55	47	20.8	0.000	0.011	0.030	0.000	61	27	0	0	26.6	751.2	
24.12.2021 18:05:56	48	20.8	0.000	0.011	0.030	0.000	60	27	0	0	26.6	750.9	
24.12.2021 18:05:57	49	20.8	0.000	0.011	0.020	0.000	60	26	0	0	26.5	750.9	
24.12.2021 18:05:58	50	20.8	0.000	0.011	0.020	0.000	60	26	0	0	26.5	750.9	
24.12.2021 18:05:59	51	20.8	0.000	0.011	0.020	0.000	60	26	0	0	26.5	750.9	
24.12.2021 18:06:00	52	20.8	0.000	0.011	0.020	0.000	61	26	0	0	26.5	750.7	
24.12.2021 18:06:01	53	20.8	0.000	0.011	0.020	0.000	61	25	0	0	26.5	750.7	
24.12.2021 18:06:03	55	20.8	0.000	0.011	0.020	0.000	61	25	0	0	26.7	750.3	
24.12.2021 18:06:05	57	20.7	0.000	0.011	0.020	0.000	63	25	0	0	26.6	750.4	
24.12.2021 18:06:06	58	20.7	0.000	0.011	0.020	0.000	63	25	0	0	26.5	750.3	
24.12.2021 18:06:07	59	20.7	0.000	0.011	0.020	0.000	63	25	0	0	26.8	750.6	
24.12.2021 18:06:08	60	20.7	0.007	0.011	0.020	0.000	63	25	0	0	26.7	750.5	
24.12.2021 18:06:09	61	20.7	0.000	0.011	0.020	0.000	63	24	0	0	26.8	750.6	
24.12.2021 18:06:10	62	20.7	0.000	0.011	0.020	0.000	63	24	0	0	27.0	750.6	
24.12.2021 18:06:12	64	20.7	0.000	0.011	0.020	0.000	64	24	0	0	26.7	750.7	
24.12.2021 18:06:13	65	20.7	0.000	0.011	0.020	0.000	64	24	0	0	26.7	750.7	
24.12.2021 18:06:14	66	20.4	0.007	0.011	0.030	0.000	64	24	0	0	26.8	750.8	
24.12.2021 18:06:15	67	20.4	0.007	0.011	0.030	0.000	64	24	0	0	26.8	750.8	
24.12.2021 18:06:17	69	20.4	0.007	0.011	0.030	0.000	64	24	0	0	26.8	750.8	
24.12.2021 18:06:18	70	18.7	0.107	0.043	0.160	0.000	65	23	0	0	26.6	750.6	
24.12.2021 18:06:19	71	17.9	0.167	0.043	0.160	0.000	65	23	0	0	26.6	750.7	
24.12.2021 18:06:20	72	17.1	0.227	0.043	0.160	0.000	78	23	0	0	27.0	750.8	
