Tabs	Trel	O2(%)	H2(%)	CO(%)	CO2(%)	CH4(%)	SO2(ppm)	NO(ppm)	NO2(ppm)	N2O(ppm)	T(°C)	P()	Comments
24.12.2021 18:27:45	0	5.7	1.923	2.823	6.183	0.000	705	40	0	0	26.4	750.8	
24.12.2021 18:27:47	2	7.5	1.715	5.193	11.336	0.000	705	53	0	0	26.4	751.3	
24.12.2021 18:27:49	4	9.5	1.526	6.561	11.336	0.000	943	65	0	0	26.4	751.1	
24.12.2021 18:27:51	6	10.4	1.473	6.561	13.104	0.000	943	65	0	0	26.3	751.3	
24.12.2021 18:27:52	7	11.5	1.407	6.561	13.104	0.000	943	65	0	0	26.3	751.2	
24.12.2021 18:27:53	8	12.3	1.340	6.561	13.104	0.000	960	74	0	0	26.5	751.3	
24.12.2021 18:27:55	10	13.9	1.249	5.764	11.176	0.000	960	74	0	0	26.6	751.0	
24.12.2021 18:27:57	12	15.2	1.101	5.764	11.176	0.000	828	76	0	0	26.6	751.1	
24.12.2021 18:27:58	13	15.2	1.101	5.764	11.176	0.000	828	76	0	0	26.6	751.1	
24.12.2021 18:27:59	14	15.2	1.101	5.764	11.176	0.000	828	76	0	0	26.6	751.1	
24.12.2021 18:28:00	15	15.2	1.101	5.764	11.176	0.000	828	76	0	0	26.6	751.1	
24.12.2021 18:28:01	16	17.3	0.915	4.363	8.620	0.000	663	73	0	0	26.5	751.0	
24.12.2021 18:28:02	17	17.3	0.915	4.363	8.620	0.000	663	73	0	0	26.5	751.0	
24.12.2021 18:28:03	18	17.3	0.915	4.363	8.620	0.000	663	73	0	0	26.5	751.0	
24.12.2021 18:28:04	19	18.1	0.872	2.995	6.133	0.000	663	73	0	0	26.5	751.3	
24.12.2021 18:28:05	20	18.5	0.796	2.995	6.133	0.000	501	73	0	0	26.4	750.8	
24.12.2021 18:28:07	22	18.5	0.796	2.995	6.133	0.000	501	68	0	0	26.4	750.8	
24.12.2021 18:28:09	24	19.0	0.749	1.929	4.135	0.000	501	68	0	0	26.4	751.1	
24.12.2021 18:28:10	25	19.0	0.749	1.929	4.135	0.000	501	68	0	0	26.4	751.1	
24.12.2021 18:28:12	27	19.6	0.618	1.185	2.717	0.000	369	62	0	0	26.6	751.0	
24.12.2021 18:28:13	28	19.7	0.572	1.185	2.717	0.000	272	62	0	0	26.8	751.0	
24.12.2021 18:28:14	29	19.8	0.569	0.722	2.717	0.000	272	56	0	0	26.8	751.3	
24.12.2021 18:28:16	31	20.0	0.505	0.722	1.768	0.000	272	56	0	0	26.6	751.3	
24.12.2021 18:28:17	32	20.0	0.505	0.722	1.768	0.000	272	56	0	0	26.6	751.3	
24.12.2021 18:28:18	33	20.0	0.505	0.722	1.768	0.000	272	51	0	0	26.6	751.3	
24.12.2021 18:28:20	35	20.1	0.454	0.431	1.169	0.000	205	51	0	0	26.6	751.1	
24.12.2021 18:28:22	37	20.3	0.372	0.269	0.789	0.000	169	47	0	0	26.4	750.9	
24.12.2021 18:28:23	38	20.3	0.372	0.269	0.789	0.000	169	47	0	0	26.4	750.9	
24.12.2021 18:28:25	40	20.2	0.335	0.269	0.789	0.000	140	47	0	0	26.3	751.4	
24.12.2021 18:28:27	42	20.0	0.332	0.172	0.789	0.000	140	43	0	0	26.4	751.2	
24.12.2021 18:28:28	43	20.0	0.332	0.172	0.789	0.000	140	43	0	0	26.4	751.2	
24.12.2021 18:28:30	45	18.6	0.354	0.172	0.589	0.000	124	43	0	0	26.3	751.3	
24.12.2021 18:28:31	46	17.9	0.388	0.172	0.729	0.000	124	40	0	0	26.4	751.2	
24.12.2021 18:28:32	47	17.2	0.421	0.172	0.729	0.000	124	40	0	0	26.5	751.3	
24.12.2021 18:28:33	48	17.2	0.421	0.172	0.729	0.000	124	40	0	0	26.5	751.3	
24.12.2021 18:28:35	50	15.4	0.537	0.366	1.398	0.000	130	36	0	0	26.4	751.3	
24.12.2021 18:28:36	51	15.4	0.537	0.366	1.398	0.000	130	36	0	0	26.4	751.3	
24.12.2021 18:28:37	52	13.2	0.733	0.366	1.398	0.000	185	36	0	0	26.3	751.1	
24.12.2021 18:28:38	53	12.4	0.765	0.862	2.887	0.000	185	38	0	0	26.3	751.4	
24.12.2021 18:28:39	54	11.4	0.860	0.862	2.887	0.000	185	38	0	0	26.4	751.1	
24.12.2021 18:28:40	55	10.7	0.937	0.862	2.887	0.000	289	38	0	0	26.5	751.2	
24.12.2021 18:28:41	56	10.7	0.937	0.862	2.887	0.000	289	38	0	0	26.5	751.2	
24.12.2021 18:28:43	58	8.8	1.058	1.853	5.483	0.000	289	40	0	0	26.4	751.3	
